Epoch,Machine Training,Discriminator Loss,Generator Loss,FPR,Recall,Median Wasserstein,Mean Wasserstein
353,Discriminator,0.50853,1.20604,0.11538,0.57692,0.37827,0.40131
354,Discriminator,0.51207,1.17853,0.03846,0.65385,0.44101,0.42098
355,Discriminator,0.54410,1.19488,0.23077,0.57692,0.45735,0.48783
356,Discriminator,0.48584,1.20069,0.03846,0.69231,0.29219,0.32574
357,Discriminator,0.49919,1.25600,0.11538,0.42308,0.28498,0.30593
358,Discriminator,0.47312,1.20743,0.11538,0.80769,0.47997,0.49223
359,Generator,0.47312,1.17098,0.07692,0.61538,0.34210,0.35303
360,Generator,0.47312,0.98892,0.26923,0.57692,0.41354,0.40308
361,Generator,0.47312,0.83958,0.42308,0.46154,0.47232,0.44393
362,Generator,0.47312,0.76493,0.50000,0.76923,0.37094,0.38377
363,Generator,0.47312,0.77533,0.50000,0.61538,0.38713,0.38469
364,Generator,0.47312,0.67983,0.69231,0.57692,0.23412,0.26162
365,Generator,0.47312,0.64860,0.80769,0.65385,0.32915,0.38049
366,Discriminator,0.70504,0.71862,0.69231,0.57692,0.46971,0.51066
367,Discriminator,0.65942,0.68125,0.46154,0.84615,0.43556,0.45669
368,Discriminator,0.72581,0.78812,0.65385,0.42308,0.41066,0.41682
