Epoch,Machine Training,Discriminator Loss,Generator Loss,FPR,Recall,Median Wasserstein,Mean Wasserstein
229,Discriminator,0.64218,0.77685,0.38462,0.73077,0.41840,0.40576
230,Discriminator,0.65483,0.76633,0.26923,0.46154,0.33002,0.34377
231,Discriminator,0.64091,0.78935,0.15385,0.69231,0.40688,0.40267
232,Discriminator,0.62891,0.80266,0.19231,0.50000,0.34167,0.34010
233,Generator,0.62891,0.79946,0.42308,0.46154,0.44918,0.45084
234,Generator,0.62891,0.73592,0.46154,0.50000,0.51781,0.48573
235,Discriminator,0.64130,0.72073,0.46154,0.53846,0.33584,0.35725
236,Discriminator,0.67398,0.76006,0.26923,0.46154,0.31254,0.32063
237,Discriminator,0.67187,0.77982,0.34615,0.42308,0.41490,0.41414
238,Discriminator,0.59773,0.80449,0.30769,0.73077,0.49955,0.51910
239,Discriminator,0.62328,0.80027,0.26923,0.50000,0.52997,0.55629
240,Generator,0.62328,0.77299,0.11538,0.53846,0.54928,0.52964
241,Generator,0.62328,0.71345,0.38462,0.61538,0.40033,0.36806
242,Discriminator,0.65859,0.73159,0.46154,0.50000,0.32303,0.32753
243,Discriminator,0.62726,0.76908,0.30769,0.42308,0.38157,0.41936
244,Discriminator,0.68410,0.73695,0.19231,0.50000,0.33247,0.35069
245,Discriminator,0.63219,0.78394,0.38462,0.65385,0.39100,0.38680
246,Discriminator,0.61464,0.74850,0.26923,0.53846,0.43832,0.43361
247,Generator,0.61464,0.80218,0.46154,0.46154,0.30331,0.30249
248,Generator,0.61464,0.73859,0.30769,0.50000,0.41792,0.42386
249,Discriminator,0.68642,0.74395,0.38462,0.50000,0.32989,0.37043
250,Discriminator,0.67514,0.78854,0.34615,0.53846,0.34735,0.34334
251,Discriminator,0.65752,0.80094,0.50000,0.53846,0.37758,0.39340
252,Discriminator,0.65999,0.75642,0.46154,0.65385,0.31566,0.30992
253,Discriminator,0.66923,0.78801,0.38462,0.73077,0.38598,0.36806
254,Generator,0.66923,0.75492,0.30769,0.50000,0.30591,0.33136
255,Generator,0.66923,0.71675,0.57692,0.50000,0.25277,0.29851
256,Discriminator,0.67223,0.72015,0.38462,0.42308,0.44044,0.44530
257,Discriminator,0.63275,0.77093,0.38462,0.61538,0.39244,0.40799
258,Discriminator,0.64647,0.73614,0.26923,0.61538,0.45991,0.44373
259,Discriminator,0.66525,0.77612,0.23077,0.50000,0.30187,0.32195
260,Discriminator,0.65762,0.79466,0.38462,0.42308,0.42144,0.38893
261,Generator,0.65762,0.73041,0.38462,0.50000,0.32820,0.33581
262,Generator,0.65762,0.74967,0.42308,0.46154,0.47129,0.46319
263,Discriminator,0.68538,0.76602,0.34615,0.61538,0.48495,0.44712
264,Discriminator,0.68291,0.83924,0.46154,0.50000,0.34042,0.32559
265,Discriminator,0.63945,0.76761,0.34615,0.50000,0.35411,0.35249
266,Discriminator,0.65615,0.81636,0.38462,0.34615,0.39169,0.38567
267,Discriminator,0.66271,0.80911,0.26923,0.46154,0.41272,0.39113
268,Generator,0.66271,0.75037,0.42308,0.46154,0.35339,0.33657
269,Generator,0.66271,0.73452,0.34615,0.34615,0.40299,0.40450
270,Discriminator,0.64788,0.75610,0.46154,0.65385,0.49980,0.48947
271,Discriminator,0.66147,0.75037,0.42308,0.46154,0.31406,0.31878
